customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,website_visits_per_month,cart_abandon_rate,churned,feedback_text,last_purchase_date
1,37,Male,Germany,85886,14,18,41.2,6,20,0.95,0,Very satisfied with my purchase.,2025-06-22
2,40,Male,India,41041,4,10,31.73,4,29,0.21,0,Good quality and value for money.,2025-10-17
3,69,Female,Australia,143869,59,39,65.96,12,26,0.08,0,Excellent customer service.,2025-07-01
4,30,Male,UK,87261,45,34,51.87,12,7,0.61,0,Good quality and value for money.,2025-08-17
5,69,Female,UK,110678,40,38,59.64,13,16,0.49,0,Excellent customer service.,2025-06-21
6,28,Male,Australia,90330,2,7,35.63,1,19,0.81,1,The product did not match the description.,2024-10-25
7,40,Male,India,27302,51,29,38.99,10,16,0.8,0,Love the products and fast shipping.,2025-07-06
8,21,Male,Brazil,39171,83,15,48.84,3,18,0.91,0,The website is easy to use.,2025-05-29
9,47,Male,India,54766,27,23,35.37,8,13,0.63,0,Excellent customer service.,2025-10-15
10,42,Female,India,47550,46,32,47.16,12,7,0.41,0,Excellent customer service.,2025-09-07
11,62,Female,USA,103020,51,36,59.03,13,14,0.66,0,Very satisfied with my purchase.,2025-06-06
12,28,Female,Germany,91009,9,23,35.26,9,17,0.18,0,"Great experience, will shop again!",2025-05-05
13,32,Male,India,29700,44,33,29.87,13,21,0.46,0,"Great experience, will shop again!",2025-09-18
14,56,Male,Japan,98727,41,41,39.71,15,23,0.35,0,Very satisfied with my purchase.,2025-06-05
15,31,Female,India,76075,73,30,47.96,9,21,0.9,0,Love the products and fast shipping.,2025-06-02
16,52,Male,Germany,151138,70,17,67.35,2,12,0.98,1,I will not be shopping here again.,2024-02-16
17,66,Male,USA,96555,32,19,39.75,5,4,0.7,0,Very satisfied with my purchase.,2025-05-07
18,42,Male,USA,148387,57,27,64.71,6,1,0.6,0,The website is easy to use.,2025-09-10
19,43,Female,Japan,122773,19,23,55.65,8,19,0.76,0,Very satisfied with my purchase.,2025-09-09
20,27,Male,Germany,128322,100,35,67.03,9,19,0.99,0,Very satisfied with my purchase.,2025-06-13
21,51,Male,UK,49081,48,39,38.09,15,9,0.83,0,Excellent customer service.,2025-05-07
22,24,Male,Germany,63638,15,9,44.73,1,29,0.07,0,Love the products and fast shipping.,2025-10-12
23,60,Female,Germany,57291,24,33,40.71,14,23,0.56,0,Love the products and fast shipping.,2025-09-11
24,27,Female,India,61231,19,12,30.18,3,29,0.6,1,Customer service was unhelpful.,2024-04-14
25,31,Male,USA,60556,46,32,39.24,12,15,0.15,0,Very satisfied with my purchase.,2025-10-22
26,20,Female,Brazil,24357,26,5,22.49,0,9,0.07,0,Very satisfied with my purchase.,2025-09-16
27,47,Male,India,74685,51,35,44.68,12,10,0.64,0,"Great experience, will shop again!",2025-09-30
28,29,Male,USA,44097,56,17,32.12,5,10,0.7,0,The website is easy to use.,2025-07-10
29,60,Female,Brazil,48679,53,38,39.06,14,8,0.07,0,The website is easy to use.,2025-05-28
30,47,Male,France,52479,46,19,46.73,5,10,0.56,0,"Great experience, will shop again!",2025-06-25
31,64,Female,India,68630,53,29,51.14,9,28,0.53,0,Very satisfied with my purchase.,2025-07-17
32,60,Male,India,52317,5,24,33.61,11,9,0.43,0,Excellent customer service.,2025-08-10
33,70,Female,India,41175,52,15,34.11,4,2,0.13,0,Very satisfied with my purchase.,2025-09-06
34,55,Male,USA,110571,89,18,61.1,1,27,0.4,0,Good quality and value for money.,2025-05-13
35,24,Female,Germany,80985,61,24,49.0,6,16,0.24,0,The website is easy to use.,2025-07-10
36,65,Female,USA,62863,31,29,40.59,12,20,0.03,0,Love the products and fast shipping.,2025-06-22
37,58,Male,Australia,51883,96,17,44.97,3,9,0.86,0,Excellent customer service.,2025-08-03
38,18,Male,India,53324,49,8,49.17,0,29,0.56,0,The website is easy to use.,2025-07-06
39,43,Female,UK,123560,64,43,65.15,14,18,0.15,0,Love the products and fast shipping.,2025-10-04
40,64,Male,Germany,78108,67,15,50.55,2,15,0.16,0,Good quality and value for money.,2025-08-02
41,44,Female,India,64826,49,24,35.85,7,8,0.92,0,The website is easy to use.,2025-09-14
42,37,Male,USA,52309,88,23,57.04,5,6,0.7,0,Good quality and value for money.,2025-08-05
43,65,Male,Australia,48657,70,31,34.53,11,27,0.64,0,"Great experience, will shop again!",2025-06-25
44,64,Male,Australia,104706,82,42,48.13,14,8,0.16,0,Love the products and fast shipping.,2025-05-24
45,31,Male,Australia,123714,61,26,49.91,7,8,0.06,0,The website is easy to use.,2025-09-11
46,64,Male,USA,165148,15,16,59.24,3,17,0.09,0,Excellent customer service.,2025-09-04
47,45,Male,France,68891,100,12,44.54,0,1,0.88,0,Good quality and value for money.,2025-08-08
48,42,Female,Japan,103250,66,41,55.52,14,2,0.17,0,The website is easy to use.,2025-09-14
49,39,Male,UK,115437,68,29,51.09,9,19,0.88,1,I will not be shopping here again.,2024-05-25
50,24,Female,India,51623,53,13,31.19,3,9,0.36,0,Love the products and fast shipping.,2025-08-12
51,29,Female,Germany,72639,12,15,39.1,4,29,0.89,0,Excellent customer service.,2025-08-01
52,53,Male,Germany,106920,2,29,47.28,11,17,0.84,0,Very satisfied with my purchase.,2025-05-23
53,18,Female,South Africa,61354,60,11,38.92,0,21,0.26,0,The website is easy to use.,2025-09-08
54,48,Male,USA,63890,90,28,54.99,7,29,0.61,0,The website is easy to use.,2025-06-12
55,24,Male,Australia,129197,82,21,63.89,4,7,0.04,0,Very satisfied with my purchase.,2025-06-17
56,35,Male,USA,62574,4,3,36.55,0,22,0.82,1,"Poor quality, item broke after a week.",2023-12-30
57,55,Female,Canada,152239,29,39,63.7,14,12,0.18,0,Very satisfied with my purchase.,2025-10-10
58,29,Female,South Africa,34324,7,19,30.18,8,9,0.74,1,Difficult to navigate the website.,2024-10-30
59,43,Male,Japan,102871,62,19,57.63,3,22,0.43,0,"Great experience, will shop again!",2025-08-14
60,28,Female,Germany,59316,100,30,60.29,8,6,0.07,0,Very satisfied with my purchase.,2025-08-19
61,52,Female,India,25471,13,13,24.72,5,24,0.47,1,I will not be shopping here again.,2024-11-11
62,35,Male,UK,132984,86,22,73.0,4,26,0.95,0,The website is easy to use.,2025-08-21
63,63,Male,Brazil,51006,2,18,35.48,8,22,0.85,1,"Poor quality, item broke after a week.",2024-04-14
64,62,Male,Canada,125241,69,30,61.97,8,17,0.36,0,Good quality and value for money.,2025-08-10
65,18,Female,Japan,75793,51,8,55.17,0,2,0.62,1,Customer service was unhelpful.,2024-08-30
66,37,Male,Canada,55073,32,24,35.5,9,24,0.22,0,Love the products and fast shipping.,2025-06-16
67,29,Female,Australia,147313,60,31,55.55,8,17,0.7,0,Very satisfied with my purchase.,2025-09-07
68,38,Male,India,66581,96,18,58.32,3,26,0.56,0,Good quality and value for money.,2025-05-23
69,69,Male,India,42106,89,17,48.23,3,5,0.44,0,The website is easy to use.,2025-09-19
70,68,Female,Germany,100053,63,22,47.6,6,9,0.21,0,Excellent customer service.,2025-07-31
71,48,Male,Germany,102632,87,30,61.63,9,15,0.47,0,"Great experience, will shop again!",2025-08-05
72,30,Female,USA,68663,76,23,51.29,5,21,0.04,0,Love the products and fast shipping.,2025-05-02
73,47,Male,Germany,80935,80,44,61.63,15,8,0.85,0,Good quality and value for money.,2025-06-11
74,66,Female,Germany,173654,42,22,60.07,5,9,0.61,1,"Poor quality, item broke after a week.",2025-03-25
75,66,Male,Australia,75601,74,11,52.0,0,12,0.43,0,Good quality and value for money.,2025-08-06
76,23,Female,Germany,49008,52,11,49.12,1,17,0.48,0,Love the products and fast shipping.,2025-08-05
77,23,Male,Brazil,44193,81,17,50.25,3,12,0.99,0,Love the products and fast shipping.,2025-07-15
78,29,Male,Germany,141536,52,32,48.97,10,7,0.37,0,Very satisfied with my purchase.,2025-09-15
79,60,Female,India,59464,76,23,37.64,5,3,0.27,0,"Great experience, will shop again!",2025-06-08
80,62,Male,USA,139813,58,25,57.78,6,12,0.63,0,The website is easy to use.,2025-05-23
81,57,Male,USA,74130,88,23,52.8,5,11,0.68,0,"Great experience, will shop again!",2025-10-17
82,21,Male,Canada,69755,79,16,43.3,3,20,0.55,0,Very satisfied with my purchase.,2025-08-21
83,21,Male,Australia,109569,61,18,62.55,3,1,0.27,0,Excellent customer service.,2025-07-25
84,65,Female,USA,116644,43,29,53.35,10,5,0.69,0,The website is easy to use.,2025-08-01
85,35,Male,USA,89098,2,31,42.97,13,4,0.16,0,Good quality and value for money.,2025-06-23
86,67,Male,Australia,107733,67,34,60.94,10,30,0.45,0,The website is easy to use.,2025-06-12
87,46,Female,USA,144175,61,40,54.04,14,21,0.97,0,Excellent customer service.,2025-08-05
88,49,Female,Australia,64003,66,21,40.29,6,16,0.44,0,Love the products and fast shipping.,2025-10-12
89,45,Female,USA,71924,23,25,43.47,10,23,0.94,1,The product did not match the description.,2024-03-04
90,46,Male,France,61611,95,39,55.82,12,25,0.04,0,Love the products and fast shipping.,2025-06-26
91,50,Male,UK,160669,93,41,63.03,12,26,0.62,0,Very satisfied with my purchase.,2025-08-31
92,36,Female,Australia,99353,66,20,43.4,4,14,0.82,1,Customer service was unhelpful.,2024-12-08
93,25,Male,Canada,69598,65,13,46.25,2,12,0.65,1,Customer service was unhelpful.,2023-12-01
94,44,Male,USA,52614,93,41,52.26,14,18,0.04,0,Very satisfied with my purchase.,2025-08-27
95,32,Female,Japan,126930,53,25,65.44,7,12,0.58,0,"Great experience, will shop again!",2025-06-04
96,57,Male,Japan,59229,19,6,42.53,0,17,0.78,0,The website is easy to use.,2025-08-10
97,34,Male,USA,149375,76,44,57.53,15,11,0.65,0,Excellent customer service.,2025-08-05
98,58,Male,Brazil,29383,84,10,40.12,0,2,0.16,0,Very satisfied with my purchase.,2025-05-29
